,Exclusive dimensions,Distribution,Estimate,Estimator
286,4,Gaussian mixture,0.0,InfoNCE
287,4,Gaussian mixture,0.17279601538626305,KSG
288,4,Circle,0.0788782816854066,LMI
289,4,Circle,-0.047005843509831016,LMI-MINE
290,4,Circle,-0.09881751497335685,LMI-InfoNCE
291,4,Circle,0.0,MINE
292,4,Circle,0.0,InfoNCE
293,4,Circle,0.05994415840108574,KSG
294,4,Gaussian mixture,-0.0082478658839437,LMI
295,4,Gaussian mixture,-0.02789532935246676,LMI-MINE
296,4,Gaussian mixture,0.01237811976711999,LMI-InfoNCE
297,4,Gaussian mixture,0.0,MINE
298,4,Gaussian mixture,0.0,InfoNCE
299,4,Gaussian mixture,0.1632846370370869,KSG
300,5,Circle,-0.07830907518667159,LMI
301,5,Circle,0.03360833137303359,LMI-MINE
302,5,Circle,0.00247328262385974,LMI-InfoNCE
303,5,Circle,0.0,MINE
304,5,Circle,0.0,InfoNCE
305,5,Circle,0.0,KSG
306,5,Gaussian mixture,-0.010020941490085578,LMI
307,5,Gaussian mixture,0.031543510347536954,LMI-MINE
308,5,Gaussian mixture,0.03458737770106394,LMI-InfoNCE
309,5,Gaussian mixture,0.0,MINE
310,5,Gaussian mixture,0.0,InfoNCE
311,5,Gaussian mixture,0.15406780280492377,KSG
312,5,Circle,-0.013113805981199997,LMI
313,5,Circle,-0.00551130192851771,LMI-MINE
314,5,Circle,0.011681996920491886,LMI-InfoNCE
315,5,Circle,0.0,MINE
316,5,Circle,0.0,InfoNCE
317,5,Circle,0.0,KSG
318,5,Gaussian mixture,0.011212184350423853,LMI
319,5,Gaussian mixture,0.055641999003854255,LMI-MINE
320,5,Gaussian mixture,0.3762578064761323,LMI-InfoNCE
321,5,Gaussian mixture,0.07986392754646417,MINE
322,5,Gaussian mixture,0.0,InfoNCE
323,5,Gaussian mixture,0.1398836081320894,KSG
324,5,Circle,0.024614586910568226,LMI
325,5,Circle,0.039223707921874,LMI-MINE
326,5,Circle,0.006586626083879544,LMI-InfoNCE
327,5,Circle,0.0,MINE
328,5,Circle,0.0,InfoNCE
329,5,Circle,0.01865816506812663,KSG
330,5,Gaussian mixture,0.024753051940294653,LMI
331,5,Gaussian mixture,-0.032530239849538935,LMI-MINE
332,5,Gaussian mixture,0.007839690074189857,LMI-InfoNCE
333,5,Gaussian mixture,0.2112469779853913,MINE
334,5,Gaussian mixture,0.0,InfoNCE
335,5,Gaussian mixture,0.16183020096443135,KSG
336,5,Circle,-0.03028701945092648,LMI
337,5,Circle,0.05731430229712144,LMI-MINE
338,5,Circle,0.0077834467085763255,LMI-InfoNCE
339,5,Circle,0.0,MINE
340,5,Circle,0.0,InfoNCE
341,5,Circle,0.0,KSG
342,5,Gaussian mixture,0.032657698066058824,LMI
343,5,Gaussian mixture,0.08934406146232476,LMI-MINE
344,5,Gaussian mixture,0.3688232360881527,LMI-InfoNCE
345,5,Gaussian mixture,0.0,MINE
346,5,Gaussian mixture,0.0,InfoNCE
347,5,Gaussian mixture,0.11702565922564838,KSG
348,5,Circle,-0.045133555512807684,LMI
349,5,Circle,0.028776618448464526,LMI-MINE
350,5,Circle,0.0068133285706567384,LMI-InfoNCE
351,5,Circle,0.0,MINE
352,5,Circle,0.0,InfoNCE
353,5,Circle,0.02111838856447685,KSG
354,5,Gaussian mixture,0.08196717225723972,LMI
355,5,Gaussian mixture,0.005042189225993908,LMI-MINE
356,5,Gaussian mixture,0.3495043723745414,LMI-InfoNCE
357,5,Gaussian mixture,0.0,MINE
358,5,Gaussian mixture,0.0,InfoNCE
359,5,Gaussian mixture,0.1198889058448633,KSG
360,6,Circle,0.07325640910418173,LMI
361,6,Circle,0.04964635985202735,LMI-MINE
362,6,Circle,0.0721108550551468,LMI-InfoNCE
363,6,Circle,0.0,MINE
364,6,Circle,0.0,InfoNCE
365,6,Circle,0.0,KSG
366,6,Gaussian mixture,-0.06062833391359273,LMI
367,6,Gaussian mixture,-0.017920609459442165,LMI-MINE
368,6,Gaussian mixture,-0.04275857054072877,LMI-InfoNCE
369,6,Gaussian mixture,0.0,MINE
370,6,Gaussian mixture,0.0,InfoNCE
371,6,Gaussian mixture,0.10004621610860068,KSG
372,6,Circle,0.01240331454318604,LMI
373,6,Circle,-0.0628587240797242,LMI-MINE
374,6,Circle,0.05335955741351578,LMI-InfoNCE
375,6,Circle,0.0,MINE
376,6,Circle,0.0,InfoNCE
377,6,Circle,0.0,KSG
378,6,Gaussian mixture,-0.013832395764837387,LMI
379,6,Gaussian mixture,0.07941119831176201,LMI-MINE
380,6,Gaussian mixture,-0.0002578070126741565,LMI-InfoNCE
381,6,Gaussian mixture,0.0,MINE
382,6,Gaussian mixture,0.0,InfoNCE
383,6,Gaussian mixture,0.13947934505249016,KSG
384,6,Circle,0.04326056138892717,LMI
385,6,Circle,0.06734313542132796,LMI-MINE
386,6,Circle,0.030876787321686885,LMI-InfoNCE
387,6,Circle,0.0,MINE
388,6,Circle,0.0,InfoNCE
389,6,Circle,0.0,KSG
390,6,Gaussian mixture,-0.11127636134798519,LMI
391,6,Gaussian mixture,-0.005528751295107941,LMI-MINE
392,6,Gaussian mixture,0.1250270456993801,LMI-InfoNCE
393,6,Gaussian mixture,0.0,MINE
394,6,Gaussian mixture,0.0,InfoNCE
395,6,Gaussian mixture,0.12639095623930496,KSG
396,6,Circle,0.08013200633590498,LMI
397,6,Circle,-0.07909975411326885,LMI-MINE
398,6,Circle,-0.10808046008425796,LMI-InfoNCE
399,6,Circle,0.0,MINE
400,6,Circle,0.0,InfoNCE
401,6,Circle,0.0,KSG
402,6,Gaussian mixture,-0.010138988247281738,LMI
403,6,Gaussian mixture,0.0019334717805175269,LMI-MINE
404,6,Gaussian mixture,0.02741886273464452,LMI-InfoNCE
405,6,Gaussian mixture,0.0,MINE
406,6,Gaussian mixture,0.0,InfoNCE
407,6,Gaussian mixture,0.1449572511086202,KSG
408,6,Circle,0.04011373831057299,LMI
409,6,Circle,0.04884645855418226,LMI-MINE
410,6,Circle,0.08943752124741888,LMI-InfoNCE
411,6,Circle,0.0,MINE
412,6,Circle,0.0,InfoNCE
413,6,Circle,0.0,KSG
414,6,Gaussian mixture,-0.0480582780396413,LMI
415,6,Gaussian mixture,0.0027969914508901147,LMI-MINE
416,6,Gaussian mixture,-0.043763482914681975,LMI-InfoNCE
417,6,Gaussian mixture,0.0,MINE
418,6,Gaussian mixture,0.0,InfoNCE
419,6,Gaussian mixture,0.09984755776296862,KSG
420,7,Circle,-0.05111995046762938,LMI
421,7,Circle,0.011421788859824769,LMI-MINE
422,7,Circle,0.03348912694625459,LMI-InfoNCE
423,7,Circle,0.0,MINE
424,7,Circle,0.0,InfoNCE
425,7,Circle,0.0,KSG
426,7,Gaussian mixture,0.011720998273934526,LMI
427,7,Gaussian mixture,-0.022013421855606813,LMI-MINE
428,7,Gaussian mixture,0.016584508379933596,LMI-InfoNCE
429,7,Gaussian mixture,0.0,MINE
430,7,Gaussian mixture,0.0,InfoNCE
431,7,Gaussian mixture,0.018105478033861297,KSG
432,7,Circle,0.02811513158589745,LMI
433,7,Circle,0.03874490652686421,LMI-MINE
434,7,Circle,0.00027893150659462807,LMI-InfoNCE
435,7,Circle,0.0,MINE
436,7,Circle,0.0,InfoNCE
437,7,Circle,0.0,KSG
438,7,Gaussian mixture,-0.019938906801336365,LMI
439,7,Gaussian mixture,-0.00017522883034199667,LMI-MINE
440,7,Gaussian mixture,-0.08984042340435233,LMI-InfoNCE
441,7,Gaussian mixture,0.0,MINE
442,7,Gaussian mixture,0.0,InfoNCE
443,7,Gaussian mixture,0.11713119059730662,KSG
444,7,Circle,0.024012723056774626,LMI
445,7,Circle,0.013850904297068038,LMI-MINE
446,7,Circle,-0.1208253621027591,LMI-InfoNCE
447,7,Circle,0.0,MINE
448,7,Circle,0.0,InfoNCE
449,7,Circle,0.0,KSG
450,7,Gaussian mixture,-0.023387052172214762,LMI
451,7,Gaussian mixture,0.03733897584601647,LMI-MINE
452,7,Gaussian mixture,0.03477399218891137,LMI-InfoNCE
453,7,Gaussian mixture,0.0,MINE
454,7,Gaussian mixture,0.0,InfoNCE
455,7,Gaussian mixture,0.06374700033587428,KSG
456,7,Circle,0.003982864737706439,LMI
457,7,Circle,-0.03717756215250619,LMI-MINE
458,7,Circle,-0.05347310776185731,LMI-InfoNCE
459,7,Circle,0.0,MINE
460,7,Circle,0.0,InfoNCE
461,7,Circle,0.0,KSG
462,7,Gaussian mixture,0.007953124654007084,LMI
463,7,Gaussian mixture,-0.07970491199474665,LMI-MINE
464,7,Gaussian mixture,-0.07204044736113761,LMI-InfoNCE
465,7,Gaussian mixture,0.0,MINE
466,7,Gaussian mixture,0.0,InfoNCE
467,7,Gaussian mixture,0.015589628607842151,KSG
468,7,Circle,-0.03141913618084198,LMI
469,7,Circle,0.0637461337898849,LMI-MINE
470,7,Circle,0.07778134054164285,LMI-InfoNCE
471,7,Circle,0.0,MINE
472,7,Circle,0.0,InfoNCE
473,7,Circle,0.0,KSG
474,7,Gaussian mixture,0.015963840570952584,LMI
475,7,Gaussian mixture,-0.08552742984380869,LMI-MINE
476,7,Gaussian mixture,0.02221485952041886,LMI-InfoNCE
477,7,Gaussian mixture,0.0,MINE
478,7,Gaussian mixture,0.0,InfoNCE
479,7,Gaussian mixture,0.1462441307981576,KSG
480,8,Circle,0.03411051052548006,LMI
481,8,Circle,0.042892214869237034,LMI-MINE
482,8,Circle,0.03878116699152017,LMI-InfoNCE
483,8,Circle,0.0,MINE
484,8,Circle,0.0,InfoNCE
485,8,Circle,0.0,KSG
486,8,Gaussian mixture,0.06333807567580149,LMI
487,8,Gaussian mixture,0.08717398559530394,LMI-MINE
488,8,Gaussian mixture,0.056821894730585056,LMI-InfoNCE
489,8,Gaussian mixture,0.0,MINE
490,8,Gaussian mixture,0.0,InfoNCE
491,8,Gaussian mixture,0.027664026954363843,KSG
492,8,Circle,0.08537186377003816,LMI
493,8,Circle,0.09260771304871644,LMI-MINE
494,8,Circle,-0.058162433847094845,LMI-InfoNCE
495,8,Circle,0.0,MINE
496,8,Circle,0.0,InfoNCE
497,8,Circle,0.0,KSG
498,8,Gaussian mixture,0.014326365623169846,LMI
499,8,Gaussian mixture,-0.04643810735610632,LMI-MINE
500,8,Gaussian mixture,-0.017189892471255176,LMI-InfoNCE
501,8,Gaussian mixture,0.0,MINE
502,8,Gaussian mixture,0.0,InfoNCE
503,8,Gaussian mixture,0.095095582614772,KSG
504,8,Circle,0.045845668621043514,LMI
505,8,Circle,-0.004147754348345537,LMI-MINE
506,8,Circle,0.05226270472812301,LMI-InfoNCE
507,8,Circle,0.0,MINE
508,8,Circle,0.0,InfoNCE
509,8,Circle,0.0,KSG
510,8,Gaussian mixture,0.027791758212324515,LMI
511,8,Gaussian mixture,-0.04893687556196184,LMI-MINE
512,8,Gaussian mixture,0.11731582431450835,LMI-InfoNCE
513,8,Gaussian mixture,0.0,MINE
514,8,Gaussian mixture,0.0,InfoNCE
515,8,Gaussian mixture,0.03222150152515416,KSG
516,8,Circle,-0.007851569752924939,LMI
517,8,Circle,-0.05023514302512199,LMI-MINE
518,8,Circle,-0.007207189718173623,LMI-InfoNCE
519,8,Circle,0.0,MINE
520,8,Circle,0.0,InfoNCE
521,8,Circle,0.0,KSG
522,8,Gaussian mixture,-0.004586745616756005,LMI
523,8,Gaussian mixture,0.09432782060017413,LMI-MINE
524,8,Gaussian mixture,-0.09302227271764577,LMI-InfoNCE
525,8,Gaussian mixture,0.0,MINE
526,8,Gaussian mixture,0.0,InfoNCE
527,8,Gaussian mixture,0.0787618900362213,KSG
528,8,Circle,-0.013256053286497307,LMI
529,8,Circle,0.07532647991651842,LMI-MINE
530,8,Circle,-0.04604920410043811,LMI-InfoNCE
531,8,Circle,0.0,MINE
532,8,Circle,0.0,InfoNCE
533,8,Circle,0.0,KSG
534,8,Gaussian mixture,-0.032360590537565556,LMI
535,8,Gaussian mixture,0.03275458788891581,LMI-MINE
536,8,Gaussian mixture,-0.021125093249324475,LMI-InfoNCE
537,8,Gaussian mixture,0.0,MINE
538,8,Gaussian mixture,0.0,InfoNCE
539,8,Gaussian mixture,0.07831506801692646,KSG
540,9,Circle,-0.025919589086316884,LMI
541,9,Circle,0.04231798149796216,LMI-MINE
542,9,Circle,-0.015971962785161525,LMI-InfoNCE
543,9,Circle,0.0,MINE
544,9,Circle,0.0,InfoNCE
545,9,Circle,0.0,KSG
546,9,Gaussian mixture,0.05053974746071309,LMI
547,9,Gaussian mixture,0.025713282989972355,LMI-MINE
548,9,Gaussian mixture,0.007006734060181454,LMI-InfoNCE
549,9,Gaussian mixture,0.0,MINE
550,9,Gaussian mixture,0.0,InfoNCE
551,9,Gaussian mixture,0.02343635651454434,KSG
552,9,Circle,0.022384022371518944,LMI
553,9,Circle,0.041089829597376136,LMI-MINE
554,9,Circle,-0.011679189806691553,LMI-InfoNCE
555,9,Circle,0.0,MINE
556,9,Circle,0.0,InfoNCE
557,9,Circle,0.0,KSG
558,9,Gaussian mixture,0.06893703962764465,LMI
559,9,Gaussian mixture,-0.02349628624081736,LMI-MINE
560,9,Gaussian mixture,0.06909370718044475,LMI-InfoNCE
561,9,Gaussian mixture,0.0,MINE
562,9,Gaussian mixture,0.0,InfoNCE
563,9,Gaussian mixture,0.15822053991327237,KSG
564,9,Circle,-0.00786494541394339,LMI
565,9,Circle,-0.03718270721599587,LMI-MINE
566,9,Circle,-0.038451991716366776,LMI-InfoNCE
567,9,Circle,0.0,MINE
568,9,Circle,0.0,InfoNCE
569,9,Circle,0.010653828606000159,KSG
570,9,Gaussian mixture,-0.02232916144421784,LMI
571,9,Gaussian mixture,-0.06830376552007374,LMI-MINE
572,9,Gaussian mixture,0.015967371050689877,LMI-InfoNCE
573,9,Gaussian mixture,0.0,MINE
574,9,Gaussian mixture,0.0,InfoNCE
575,9,Gaussian mixture,0.11413050793386528,KSG
576,9,Circle,0.040243707268538854,LMI
577,9,Circle,0.059966110245662646,LMI-MINE
578,9,Circle,0.01206012622015586,LMI-InfoNCE
579,9,Circle,0.0,MINE
580,9,Circle,0.0,InfoNCE
581,9,Circle,0.0,KSG
582,9,Gaussian mixture,-0.02909700894022214,LMI
583,9,Gaussian mixture,0.06669763163229661,LMI-MINE
584,9,Gaussian mixture,-0.008136760865639659,LMI-InfoNCE
585,9,Gaussian mixture,0.0,MINE
586,9,Gaussian mixture,0.0,InfoNCE
587,9,Gaussian mixture,0.10391445395036712,KSG
588,9,Circle,-0.027344574361956024,LMI
589,9,Circle,0.03596134725050241,LMI-MINE
590,9,Circle,0.01262867295967022,LMI-InfoNCE
591,9,Circle,0.0,MINE
592,9,Circle,0.0,InfoNCE
593,9,Circle,0.0,KSG
594,9,Gaussian mixture,0.07152841445356936,LMI
595,9,Gaussian mixture,-0.0011530350203980513,LMI-MINE
596,9,Gaussian mixture,-0.00921175850202154,LMI-InfoNCE
597,9,Gaussian mixture,0.0,MINE
598,9,Gaussian mixture,0.0,InfoNCE
599,9,Gaussian mixture,0.09634654472655158,KSG
