,Estimator,Sample number,True MI,Estimate,Ambient dimensions,Intrinsic dimensions
0,InfoNCE,1000,1,0.8157199044177325,1,1
1,LMI,1000,1,0.9686289916503262,1,1
2,MINE,1000,1,0.927086840027317,1,1
3,KSG,1000,1,0.9520869838135209,1,1
4,InfoNCE,1000,1,-0.13073295601866572,13,1
5,LMI,1000,1,0.8798901207366427,13,1
6,MINE,1000,1,0.881428369928306,13,1
7,KSG,1000,1,0.3400493604060366,13,1
8,InfoNCE,1000,1,-3.0290726434759585,25,1
9,LMI,1000,1,0.876394252285601,25,1
10,MINE,1000,1,-0.2218092924881307,25,1
11,KSG,1000,1,0.20700548121649548,25,1
12,InfoNCE,1000,1,-3.6180581882328022,37,1
13,LMI,1000,1,0.8369730525354366,37,1
14,MINE,1000,1,-1.7354611074527226,37,1
15,KSG,1000,1,0.11011115241626533,37,1
16,InfoNCE,1000,1,-8.714389812303859,50,1
17,LMI,1000,1,0.8367506958311087,50,1
18,MINE,1000,1,-1.0582979938067067,50,1
19,KSG,1000,1,0.06434940405274989,50,1
20,InfoNCE,2000,1,0.9988601017379166,1,1
21,LMI,2000,1,1.0712472539709992,1,1
22,MINE,2000,1,1.0325717969947428,1,1
23,KSG,2000,1,1.0445957177458742,1,1
24,InfoNCE,2000,1,0.4285291711548603,13,1
25,LMI,2000,1,0.9303736673048215,13,1
26,MINE,2000,1,0.6579325295744891,13,1
27,KSG,2000,1,0.4470314795242342,13,1
28,InfoNCE,2000,1,-0.2248783228927775,25,1
29,LMI,2000,1,0.9431640220859479,25,1
30,MINE,2000,1,0.7618267330127593,25,1
31,KSG,2000,1,0.17673473720735602,25,1
32,InfoNCE,2000,1,0.03419152685273326,37,1
33,LMI,2000,1,0.8584860803806901,37,1
34,MINE,2000,1,0.5322689341726556,37,1
35,KSG,2000,1,0.11515359812988747,37,1
36,InfoNCE,2000,1,-0.8424962272958648,50,1
37,LMI,2000,1,0.9564857394425917,50,1
38,MINE,2000,1,0.4442017781453372,50,1
39,KSG,2000,1,0.1105176156433884,50,1
40,InfoNCE,3000,1,0.9385870619165367,1,1
41,LMI,3000,1,1.0274462261387964,1,1
42,MINE,3000,1,0.9428336575316412,1,1
43,KSG,3000,1,1.0012711731068569,1,1
44,InfoNCE,3000,1,0.7062969747021757,13,1
45,LMI,3000,1,0.9651600575899095,13,1
46,MINE,3000,1,0.7995385727460034,13,1
47,KSG,3000,1,0.45109099455267215,13,1
48,InfoNCE,3000,1,0.6355295535251472,25,1
49,LMI,3000,1,0.9011723432177444,25,1
50,MINE,3000,1,0.7962804474167329,25,1
51,KSG,3000,1,0.19754420133279926,25,1
52,InfoNCE,3000,1,0.4935743855723814,37,1
53,LMI,3000,1,0.9176596774169459,37,1
54,MINE,3000,1,0.8730247816591966,37,1
55,KSG,3000,1,0.10935762959459885,37,1
56,InfoNCE,3000,1,0.42635187079493714,50,1
57,LMI,3000,1,0.8641418979268877,50,1
58,MINE,3000,1,0.8729512590759527,50,1
59,KSG,3000,1,0.09247800527930747,50,1
60,InfoNCE,4000,1,0.9850670931387194,1,1
61,LMI,4000,1,1.0254370124909533,1,1
62,MINE,4000,1,0.9668269571535116,1,1
63,KSG,4000,1,1.0384248108096894,1,1
64,InfoNCE,4000,1,0.8550736625187637,13,1
65,LMI,4000,1,0.9297083664563555,13,1
66,MINE,4000,1,0.8885482796913754,13,1
67,KSG,4000,1,0.4187103531330815,13,1
68,InfoNCE,4000,1,0.6844510504589782,25,1
69,LMI,4000,1,0.9004312412174971,25,1
70,MINE,4000,1,0.7584901835946953,25,1
71,KSG,4000,1,0.19637074571798596,25,1
72,InfoNCE,4000,1,0.4731063863278968,37,1
73,LMI,4000,1,0.9187860787965629,37,1
74,MINE,4000,1,0.825196320462924,37,1
75,KSG,4000,1,0.17632633029729328,37,1
76,InfoNCE,4000,1,0.5207221909763775,50,1
77,LMI,4000,1,0.9186113439447932,50,1
78,MINE,4000,1,0.7577650187473324,50,1
79,KSG,4000,1,0.10728966272264376,50,1
80,InfoNCE,5000,1,0.9889016183223566,1,1
81,LMI,5000,1,1.0402246144211424,1,1
82,MINE,5000,1,0.9601397557400131,1,1
83,KSG,5000,1,1.0148209033167266,1,1
84,InfoNCE,5000,1,0.9233762283436265,13,1
85,LMI,5000,1,0.9790133488914579,13,1
86,MINE,5000,1,0.8909486415494676,13,1
87,KSG,5000,1,0.4732010188281219,13,1
88,InfoNCE,5000,1,0.8298135386906379,25,1
89,LMI,5000,1,0.9895720655804539,25,1
90,MINE,5000,1,0.8588123933658703,25,1
91,KSG,5000,1,0.22781704266612965,25,1
92,InfoNCE,5000,1,0.8214696284013778,37,1
93,LMI,5000,1,0.9350624685657057,37,1
94,MINE,5000,1,0.7973754609547764,37,1
95,KSG,5000,1,0.11035356609037363,37,1
96,InfoNCE,5000,1,0.6610820478597398,50,1
97,LMI,5000,1,0.8649449223324289,50,1
98,MINE,5000,1,0.8141722325426181,50,1
99,KSG,5000,1,0.1185227578013129,50,1
100,InfoNCE,6000,1,1.0202437366155948,1,1
101,LMI,6000,1,0.9819539025414497,1,1
102,MINE,6000,1,1.0443425475937695,1,1
103,KSG,6000,1,1.0107933466433048,1,1
104,InfoNCE,6000,1,0.9397352180936969,13,1
105,LMI,6000,1,1.0001369992714324,13,1
106,MINE,6000,1,0.9215487406955583,13,1
107,KSG,6000,1,0.4959202604595346,13,1
108,InfoNCE,6000,1,0.9069952248142457,25,1
109,LMI,6000,1,0.9583787671557914,25,1
110,MINE,6000,1,0.8921636129864879,25,1
111,KSG,6000,1,0.2805190528599883,25,1
112,InfoNCE,6000,1,0.8359182348656642,37,1
113,LMI,6000,1,0.9197519602262676,37,1
114,MINE,6000,1,0.8662285432450509,37,1
115,KSG,6000,1,0.15675238045691375,37,1
116,InfoNCE,6000,1,0.7625469963545727,50,1
117,LMI,6000,1,0.9162264866959559,50,1
118,MINE,6000,1,0.855678267527872,50,1
119,KSG,6000,1,0.12981670900168976,50,1
120,InfoNCE,7000,1,1.018478506687139,1,1
121,LMI,7000,1,0.9951845468018943,1,1
122,MINE,7000,1,0.9886969589678298,1,1
123,KSG,7000,1,0.9985704512185899,1,1
124,InfoNCE,7000,1,0.9457126471070846,13,1
125,LMI,7000,1,1.0106882851875065,13,1
126,MINE,7000,1,0.9394784479959587,13,1
127,KSG,7000,1,0.4943227585237647,13,1
128,InfoNCE,7000,1,0.9008341183297365,25,1
129,LMI,7000,1,0.9558637530186113,25,1
130,MINE,7000,1,0.9113551569962688,25,1
131,KSG,7000,1,0.2919029673798551,25,1
132,InfoNCE,7000,1,0.8290224184966689,37,1
133,LMI,7000,1,0.9084314875019999,37,1
134,MINE,7000,1,0.8099707823733651,37,1
135,KSG,7000,1,0.1695886979009474,37,1
136,InfoNCE,7000,1,0.8665820535838995,50,1
137,LMI,7000,1,0.9577187838790147,50,1
138,MINE,7000,1,0.8778250754187539,50,1
139,KSG,7000,1,0.13025937232060922,50,1
140,InfoNCE,8000,1,1.000885369434477,1,1
141,LMI,8000,1,1.0137539310134984,1,1
142,MINE,8000,1,0.9569689116060555,1,1
143,KSG,8000,1,1.027219845470648,1,1
144,InfoNCE,8000,1,0.9694448770649453,13,1
145,LMI,8000,1,0.9705037840054236,13,1
146,MINE,8000,1,0.9151421289769424,13,1
147,KSG,8000,1,0.49675388165166146,13,1
148,InfoNCE,8000,1,0.9274095654716611,25,1
149,LMI,8000,1,0.9210381744839832,25,1
150,MINE,8000,1,0.8835332655922159,25,1
151,KSG,8000,1,0.2741614607610942,25,1
152,InfoNCE,8000,1,0.8979709511581724,37,1
153,LMI,8000,1,0.9306031812119634,37,1
154,MINE,8000,1,0.8945237309042783,37,1
155,KSG,8000,1,0.15475589338437343,37,1
156,InfoNCE,8000,1,0.8838394807020772,50,1
157,LMI,8000,1,0.9133732169123682,50,1
158,MINE,8000,1,0.8606250905059644,50,1
159,KSG,8000,1,0.1317846612476525,50,1
160,InfoNCE,9000,1,0.9712809638455566,1,1
161,LMI,9000,1,0.9888358140599622,1,1
162,MINE,9000,1,0.9439736445328853,1,1
163,KSG,9000,1,1.0266617896601218,1,1
164,InfoNCE,9000,1,0.9592077817549874,13,1
165,LMI,9000,1,0.9891195892421452,13,1
166,MINE,9000,1,0.909099604530203,13,1
167,KSG,9000,1,0.5201029888057285,13,1
168,InfoNCE,9000,1,0.9013762076452561,25,1
169,LMI,9000,1,0.9348810994880482,25,1
170,MINE,9000,1,0.8970107720184053,25,1
171,KSG,9000,1,0.2619491713084092,25,1
172,InfoNCE,9000,1,0.9057266807814817,37,1
173,LMI,9000,1,0.9096801522150771,37,1
174,MINE,9000,1,0.8708418058717949,37,1
175,KSG,9000,1,0.16157428113324157,37,1
176,InfoNCE,9000,1,0.8311054723639193,50,1
177,LMI,9000,1,0.8998800479133329,50,1
178,MINE,9000,1,0.8586782468981974,50,1
179,KSG,9000,1,0.14513179159861364,50,1
180,InfoNCE,10000,1,0.9956502175422132,1,1
181,LMI,10000,1,0.9647114945139776,1,1
182,MINE,10000,1,0.9943180399286299,1,1
183,KSG,10000,1,0.9981042703540274,1,1
184,InfoNCE,10000,1,0.9332934359229795,13,1
185,LMI,10000,1,0.9627518453525985,13,1
186,MINE,10000,1,0.8860455021646944,13,1
187,KSG,10000,1,0.5218068533638441,13,1
188,InfoNCE,10000,1,0.8685687971666667,25,1
189,LMI,10000,1,0.9722476588167388,25,1
190,MINE,10000,1,0.8412348205431116,25,1
191,KSG,10000,1,0.26119509131880875,25,1
192,InfoNCE,10000,1,0.8727933790024607,37,1
193,LMI,10000,1,0.9363996752888796,37,1
194,MINE,10000,1,0.829078054884223,37,1
195,KSG,10000,1,0.19107890360925625,37,1
196,InfoNCE,10000,1,0.8680095095860608,50,1
197,LMI,10000,1,0.9080199018454798,50,1
198,MINE,10000,1,0.8123692524222977,50,1
199,KSG,10000,1,0.12043148810870921,50,1
200,InfoNCE,1000,1,0.9431487297480219,1,1
201,LMI,1000,1,0.9976064566478324,1,1
202,MINE,1000,1,0.9568856720030379,1,1
203,KSG,1000,1,0.9615408793240351,1,1
204,InfoNCE,1000,1,-0.4147155246375595,13,1
205,LMI,1000,1,0.9498040375942098,13,1
206,MINE,1000,1,0.6152500472660082,13,1
207,KSG,1000,1,0.32787284863770333,13,1
208,InfoNCE,1000,1,-1.7054810917543177,25,1
209,LMI,1000,1,0.7490051502841657,25,1
210,MINE,1000,1,-0.6426871274887554,25,1
211,KSG,1000,1,0.14819786803429041,25,1
212,InfoNCE,1000,1,-6.734718156140172,37,1
213,LMI,1000,1,0.8545362466636616,37,1
214,MINE,1000,1,0.16963302388672094,37,1
215,KSG,1000,1,0.21877165279319033,37,1
216,InfoNCE,1000,1,-5.982796247955903,50,1
217,LMI,1000,1,0.8716233276278065,50,1
218,MINE,1000,1,0.5341646989331164,50,1
219,KSG,1000,1,0.16794906317066977,50,1
220,InfoNCE,2000,1,1.0189497391505031,1,1
221,LMI,2000,1,0.9446133658444317,1,1
222,MINE,2000,1,1.0783356924587326,1,1
223,KSG,2000,1,0.9842681182076229,1,1
224,InfoNCE,2000,1,0.7215821047802586,13,1
225,LMI,2000,1,0.9414670734449748,13,1
226,MINE,2000,1,0.8722992728465319,13,1
227,KSG,2000,1,0.40551779432673235,13,1
228,InfoNCE,2000,1,-0.06647954972571696,25,1
229,LMI,2000,1,0.8843701754574084,25,1
230,MINE,2000,1,0.5877687675019891,25,1
231,KSG,2000,1,0.23864041849509254,25,1
232,InfoNCE,2000,1,-0.11249316399875968,37,1
233,LMI,2000,1,0.9120001148662025,37,1
234,MINE,2000,1,0.6693639584033637,37,1
235,KSG,2000,1,0.1719971835656432,37,1
236,InfoNCE,2000,1,-0.7389895007699886,50,1
237,LMI,2000,1,0.977517066096517,50,1
238,MINE,2000,1,0.6136126004471434,50,1
239,KSG,2000,1,0.11680470439067875,50,1
240,InfoNCE,3000,1,0.9618418680356022,1,1
241,LMI,3000,1,1.0034916469565829,1,1
242,MINE,3000,1,0.9421149420336855,1,1
243,KSG,3000,1,0.9414377777712319,1,1
244,InfoNCE,3000,1,0.798170106793088,13,1
245,LMI,3000,1,1.0019877916149584,13,1
246,MINE,3000,1,0.956550821781808,13,1
247,KSG,3000,1,0.46860204860865673,13,1
248,InfoNCE,3000,1,0.7284215108397708,25,1
249,LMI,3000,1,0.9102261814731964,25,1
250,MINE,3000,1,0.7811857881244805,25,1
251,KSG,3000,1,0.18728408456772128,25,1
252,InfoNCE,3000,1,0.5896273840098635,37,1
253,LMI,3000,1,0.9587569090786989,37,1
254,MINE,3000,1,0.6576449745822466,37,1
255,KSG,3000,1,0.15596108878949663,37,1
256,InfoNCE,3000,1,-0.11932431489103044,50,1
257,LMI,3000,1,0.8572787423466983,50,1
258,MINE,3000,1,0.6837215000540182,50,1
259,KSG,3000,1,0.10540060256702391,50,1
260,InfoNCE,4000,1,1.0079339063974384,1,1
261,LMI,4000,1,0.9843889259547437,1,1
262,MINE,4000,1,0.9843561168600525,1,1
263,KSG,4000,1,1.0061539463389848,1,1
264,InfoNCE,4000,1,0.9016039126749984,13,1
265,LMI,4000,1,0.9733591377154768,13,1
266,MINE,4000,1,0.901783032605872,13,1
267,KSG,4000,1,0.4399697757579958,13,1
268,InfoNCE,4000,1,0.7485180275583917,25,1
269,LMI,4000,1,0.9405763835598213,25,1
270,MINE,4000,1,0.9320840539221122,25,1
271,KSG,4000,1,0.22499395008049003,25,1
272,InfoNCE,4000,1,0.5845291303076864,37,1
273,LMI,4000,1,0.8955611894179144,37,1
274,MINE,4000,1,0.8063227723745886,37,1
275,KSG,4000,1,0.14972641277139828,37,1
276,InfoNCE,4000,1,0.5723052914149614,50,1
277,LMI,4000,1,0.9931003341230039,50,1
278,MINE,4000,1,0.8756893088690141,50,1
279,KSG,4000,1,0.17467114824494265,50,1
280,InfoNCE,5000,1,0.9709865295472795,1,1
281,LMI,5000,1,1.0093289951479927,1,1
282,MINE,5000,1,0.9677589311385372,1,1
283,KSG,5000,1,0.9920145234824711,1,1
284,InfoNCE,5000,1,0.9017655763668094,13,1
285,LMI,5000,1,0.9424711760788141,13,1
286,MINE,5000,1,0.8446476442668331,13,1
287,KSG,5000,1,0.4960670314839437,13,1
288,InfoNCE,5000,1,0.8293973406755499,25,1
289,LMI,5000,1,0.9316942921172806,25,1
290,MINE,5000,1,0.9131573631946601,25,1
291,KSG,5000,1,0.2554034056010192,25,1
292,InfoNCE,5000,1,0.7674147933045936,37,1
293,LMI,5000,1,0.9284111000881745,37,1
294,MINE,5000,1,0.8082980791110733,37,1
295,KSG,5000,1,0.13509555167390472,37,1
296,InfoNCE,5000,1,0.5724229275481516,50,1
297,LMI,5000,1,0.900647140880175,50,1
298,MINE,5000,1,0.8352423430477733,50,1
299,KSG,5000,1,0.14924407216381336,50,1
300,InfoNCE,6000,1,1.0046015705543208,1,1
301,LMI,6000,1,1.0083455648289052,1,1
302,MINE,6000,1,0.9959724270386047,1,1
303,KSG,6000,1,1.0367092152344564,1,1
304,InfoNCE,6000,1,0.9012640749568934,13,1
305,LMI,6000,1,0.9437343487845085,13,1
306,MINE,6000,1,0.9231940127250373,13,1
307,KSG,6000,1,0.47485632939803424,13,1
308,InfoNCE,6000,1,0.8263780132570024,25,1
309,LMI,6000,1,0.9443039733490556,25,1
310,MINE,6000,1,0.8276840495076546,25,1
311,KSG,6000,1,0.24549797531637083,25,1
312,InfoNCE,6000,1,0.8067355307366593,37,1
313,LMI,6000,1,0.8712727017478443,37,1
314,MINE,6000,1,0.760379756979725,37,1
315,KSG,6000,1,0.2188017481444289,37,1
316,InfoNCE,6000,1,0.8172533017328253,50,1
317,LMI,6000,1,0.9788655111469824,50,1
318,MINE,6000,1,0.9746744395210561,50,1
319,KSG,6000,1,0.13007743035624417,50,1
320,InfoNCE,7000,1,0.9491990794053755,1,1
321,LMI,7000,1,1.003692883439189,1,1
322,MINE,7000,1,0.9858697361702962,1,1
323,KSG,7000,1,0.9854030090930971,1,1
324,InfoNCE,7000,1,0.9317297696613348,13,1
325,LMI,7000,1,0.9736691948323116,13,1
326,MINE,7000,1,0.9150325760283428,13,1
327,KSG,7000,1,0.4758717708203481,13,1
328,InfoNCE,7000,1,0.9477551130687314,25,1
329,LMI,7000,1,0.9504926614326918,25,1
330,MINE,7000,1,0.8782310404661156,25,1
331,KSG,7000,1,0.2683784203966247,25,1
332,InfoNCE,7000,1,0.8120910704845272,37,1
333,LMI,7000,1,0.9577134736107512,37,1
334,MINE,7000,1,0.8406355469961801,37,1
335,KSG,7000,1,0.15843055986728183,37,1
336,InfoNCE,7000,1,0.7482167139540801,50,1
337,LMI,7000,1,0.8714702250694116,50,1
338,MINE,7000,1,0.8454452998015348,50,1
339,KSG,7000,1,0.11407361433313273,50,1
340,InfoNCE,8000,1,0.9782497008585177,1,1
341,LMI,8000,1,0.9856694701098859,1,1
342,MINE,8000,1,0.9858675003958349,1,1
343,KSG,8000,1,0.9751061886844057,1,1
344,InfoNCE,8000,1,0.9392172063492981,13,1
345,LMI,8000,1,0.9829959126635636,13,1
346,MINE,8000,1,0.9137804563387361,13,1
347,KSG,8000,1,0.49558210197104663,13,1
348,InfoNCE,8000,1,0.8828667468287971,25,1
349,LMI,8000,1,0.9531513043172458,25,1
350,MINE,8000,1,0.8503049275756398,25,1
351,KSG,8000,1,0.2561607211172618,25,1
352,InfoNCE,8000,1,0.8540011787079833,37,1
353,LMI,8000,1,0.9153735586747253,37,1
354,MINE,8000,1,0.8421189833511973,37,1
355,KSG,8000,1,0.1463845109486258,37,1
356,InfoNCE,8000,1,0.8538856063666035,50,1
357,LMI,8000,1,0.9458957457032607,50,1
358,MINE,8000,1,0.8906741572386906,50,1
359,KSG,8000,1,0.12499445965257516,50,1
360,InfoNCE,9000,1,1.028436990102699,1,1
361,LMI,9000,1,1.0040846105980206,1,1
362,MINE,9000,1,0.9886630783856099,1,1
363,KSG,9000,1,1.0138384723353482,1,1
364,InfoNCE,9000,1,0.9443938841402686,13,1
365,LMI,9000,1,0.9847480096145401,13,1
366,MINE,9000,1,0.9302460753323414,13,1
367,KSG,9000,1,0.510629593502111,13,1
368,InfoNCE,9000,1,0.8838711255098359,25,1
369,LMI,9000,1,0.9615067889611265,25,1
370,MINE,9000,1,0.828928945925925,25,1
371,KSG,9000,1,0.2502007065425467,25,1
372,InfoNCE,9000,1,0.8552628434347128,37,1
373,LMI,9000,1,0.910116073194574,37,1
374,MINE,9000,1,0.840875118828832,37,1
375,KSG,9000,1,0.20734778584948146,37,1
376,InfoNCE,9000,1,0.783978098443889,50,1
377,LMI,9000,1,0.9064835153369128,50,1
378,MINE,9000,1,0.8412899409827131,50,1
379,KSG,9000,1,0.11948297217258945,50,1
380,InfoNCE,10000,1,0.9905815448559845,1,1
381,LMI,10000,1,1.0092011686050333,1,1
382,MINE,10000,1,0.9495353914791377,1,1
383,KSG,10000,1,0.9947731618687685,1,1
384,InfoNCE,10000,1,0.9167363221591152,13,1
385,LMI,10000,1,0.9943162684365571,13,1
386,MINE,10000,1,0.8967601932960982,13,1
387,KSG,10000,1,0.5245596391211428,13,1
388,InfoNCE,10000,1,0.9108724016952968,25,1
389,LMI,10000,1,0.9419386097597741,25,1
390,MINE,10000,1,0.8899563016539892,25,1
391,KSG,10000,1,0.26753085381568237,25,1
392,InfoNCE,10000,1,0.8094961962483092,37,1
393,LMI,10000,1,0.9234435696651458,37,1
394,MINE,10000,1,0.8534588314184874,37,1
395,KSG,10000,1,0.1851448551586013,37,1
396,InfoNCE,10000,1,0.8791560491537811,50,1
397,LMI,10000,1,0.9427671561419909,50,1
398,MINE,10000,1,0.8539195729401489,50,1
399,KSG,10000,1,0.12080395417121147,50,1
400,InfoNCE,1000,1,1.0556095610084193,1,1
401,LMI,1000,1,1.123957594936957,1,1
402,MINE,1000,1,1.1770105664086181,1,1
403,KSG,1000,1,1.0118545353314552,1,1
404,InfoNCE,1000,1,-1.2663013789968256,13,1
405,LMI,1000,1,0.7420181376609368,13,1
406,MINE,1000,1,-0.0023498419544012703,13,1
407,KSG,1000,1,0.3517214193403303,13,1
408,InfoNCE,1000,1,-4.607255616714642,25,1
409,LMI,1000,1,0.7522904775936676,25,1
410,MINE,1000,1,-1.2841074307712554,25,1
411,KSG,1000,1,0.2716697874557584,25,1
412,InfoNCE,1000,1,-4.1402098990031515,37,1
413,LMI,1000,1,0.859070217504773,37,1
414,MINE,1000,1,-1.0305485930899927,37,1
415,KSG,1000,1,0.08533715443070082,37,1
416,InfoNCE,1000,1,-5.310027635004734,50,1
417,LMI,1000,1,0.7933704503353436,50,1
418,MINE,1000,1,-0.006185356038280913,50,1
419,KSG,1000,1,0.09867570291706247,50,1
420,InfoNCE,2000,1,1.109530937568134,1,1
421,LMI,2000,1,1.057066710742165,1,1
422,MINE,2000,1,1.0365963630075832,1,1
423,KSG,2000,1,1.127266413136419,1,1
424,InfoNCE,2000,1,0.5162960454737723,13,1
425,LMI,2000,1,0.9211209125154312,13,1
426,MINE,2000,1,0.7468908996985787,13,1
427,KSG,2000,1,0.39774616681316044,13,1
428,InfoNCE,2000,1,0.1625373636774232,25,1
429,LMI,2000,1,0.9447983323129104,25,1
430,MINE,2000,1,0.6458598634318726,25,1
431,KSG,2000,1,0.2068138830125771,25,1
432,InfoNCE,2000,1,-0.6251796375962233,37,1
433,LMI,2000,1,0.7925964220925252,37,1
434,MINE,2000,1,0.4977213172413109,37,1
435,KSG,2000,1,0.10580614770761723,37,1
436,InfoNCE,2000,1,-0.6670264562041619,50,1
437,LMI,2000,1,0.8502311361656789,50,1
438,MINE,2000,1,0.4375230038817309,50,1
439,KSG,2000,1,0.17825028740757176,50,1
440,InfoNCE,3000,1,0.9439164603014735,1,1
441,LMI,3000,1,0.9558846847096859,1,1
442,MINE,3000,1,0.9706590745800368,1,1
443,KSG,3000,1,0.9589965672240047,1,1
444,InfoNCE,3000,1,0.8843120890266482,13,1
445,LMI,3000,1,1.0468991231046747,13,1
446,MINE,3000,1,0.8461328864396843,13,1
447,KSG,3000,1,0.44712849721224346,13,1
448,InfoNCE,3000,1,0.6432557021325079,25,1
449,LMI,3000,1,0.907085991906287,25,1
450,MINE,3000,1,0.8261853066967106,25,1
451,KSG,3000,1,0.2400199362697295,25,1
452,InfoNCE,3000,1,0.3323502814169466,37,1
453,LMI,3000,1,0.8752311054285885,37,1
454,MINE,3000,1,0.6586639717886087,37,1
455,KSG,3000,1,0.1619751991274864,37,1
456,InfoNCE,3000,1,0.46277573245586967,50,1
457,LMI,3000,1,0.9460348773735322,50,1
458,MINE,3000,1,0.698981090708448,50,1
459,KSG,3000,1,0.15251280531999484,50,1
460,InfoNCE,4000,1,0.9760964780697153,1,1
461,LMI,4000,1,0.9874487965221649,1,1
462,MINE,4000,1,0.9951710738769094,1,1
463,KSG,4000,1,1.0047737883237127,1,1
464,InfoNCE,4000,1,0.8942767638176393,13,1
465,LMI,4000,1,1.0110861404141123,13,1
466,MINE,4000,1,0.8941143262038993,13,1
467,KSG,4000,1,0.4787307937937469,13,1
468,InfoNCE,4000,1,0.6841194679081147,25,1
469,LMI,4000,1,0.9403595642969462,25,1
470,MINE,4000,1,0.8444772094598281,25,1
471,KSG,4000,1,0.20684776614436928,25,1
472,InfoNCE,4000,1,0.5802687760805129,37,1
473,LMI,4000,1,0.958544426384687,37,1
474,MINE,4000,1,0.942681710859604,37,1
475,KSG,4000,1,0.19916129802810406,37,1
476,InfoNCE,4000,1,0.5034145449241478,50,1
477,LMI,4000,1,0.8989330223012583,50,1
478,MINE,4000,1,0.801976082856682,50,1
479,KSG,4000,1,0.10986145999467282,50,1
480,InfoNCE,5000,1,0.9656550673705324,1,1
481,LMI,5000,1,1.0424318204679333,1,1
482,MINE,5000,1,0.9903906441135267,1,1
483,KSG,5000,1,1.0100721794258236,1,1
484,InfoNCE,5000,1,0.8947844566029862,13,1
485,LMI,5000,1,1.0115969228954986,13,1
486,MINE,5000,1,0.9224248203190535,13,1
487,KSG,5000,1,0.45078562601069216,13,1
488,InfoNCE,5000,1,0.8148138998129871,25,1
489,LMI,5000,1,0.9584392992371857,25,1
490,MINE,5000,1,0.881773797082564,25,1
491,KSG,5000,1,0.23386524881431905,25,1
492,InfoNCE,5000,1,0.7272485891608864,37,1
493,LMI,5000,1,0.9718518531846213,37,1
494,MINE,5000,1,0.8586319835651153,37,1
495,KSG,5000,1,0.1790102712505653,37,1
496,InfoNCE,5000,1,0.752189513189011,50,1
497,LMI,5000,1,0.9534467404207655,50,1
498,MINE,5000,1,0.8572512208526633,50,1
499,KSG,5000,1,0.1386294397791476,50,1
500,InfoNCE,6000,1,0.9906489620551228,1,1
501,LMI,6000,1,1.0364387308158793,1,1
502,MINE,6000,1,1.0199319320695805,1,1
503,KSG,6000,1,1.0131469102205757,1,1
504,InfoNCE,6000,1,0.8823858833369846,13,1
505,LMI,6000,1,0.9016378872734282,13,1
