,Estimator,Sample number,True MI,Estimate,Ambient dimensions,Intrinsic dimensions
1011,KSG,1000,1,0.2461914429627598,25,1
1012,InfoNCE,1000,1,-2.43774400708376,37,1
1013,LMI,1000,1,0.7975887615818409,37,1
1014,MINE,1000,1,-0.24229827361602055,37,1
1015,KSG,1000,1,0.15537197444238413,37,1
1016,InfoNCE,1000,1,-7.106912002247808,50,1
1017,LMI,1000,1,0.8421259778898218,50,1
1018,MINE,1000,1,-0.07845951721951848,50,1
1019,KSG,1000,1,0.0066191118452555405,50,1
1020,InfoNCE,2000,1,0.9649664488364778,1,1
1021,LMI,2000,1,1.0341052444611327,1,1
1022,MINE,2000,1,0.9659491577035079,1,1
1023,KSG,2000,1,0.9758167101294383,1,1
1024,InfoNCE,2000,1,0.6639871787981143,13,1
1025,LMI,2000,1,0.9692142421563015,13,1
1026,MINE,2000,1,0.8741982192860335,13,1
1027,KSG,2000,1,0.46051244857266627,13,1
1028,InfoNCE,2000,1,0.20794972660304953,25,1
1029,LMI,2000,1,0.8960759284241044,25,1
1030,MINE,2000,1,0.6420095158443561,25,1
1031,KSG,2000,1,0.22884095950624053,25,1
1032,InfoNCE,2000,1,-0.42241484395138573,37,1
1033,LMI,2000,1,0.8175137682817144,37,1
1034,MINE,2000,1,0.41110397496076595,37,1
1035,KSG,2000,1,0.15980711133336242,37,1
1036,InfoNCE,2000,1,-0.8533579635937564,50,1
1037,LMI,2000,1,0.8758811047104467,50,1
1038,MINE,2000,1,0.8902687941306069,50,1
1039,KSG,2000,1,0.10595058081243403,50,1
1040,InfoNCE,3000,1,1.0380865926773095,1,1
1041,LMI,3000,1,1.0323863319004911,1,1
1042,MINE,3000,1,1.0525250521651948,1,1
1043,KSG,3000,1,0.9909502339251451,1,1
1044,InfoNCE,3000,1,0.7826221872244866,13,1
1045,LMI,3000,1,0.9562491211719358,13,1
1046,MINE,3000,1,0.8608686179395861,13,1
1047,KSG,3000,1,0.41714113571435396,13,1
1048,InfoNCE,3000,1,0.7035679539982845,25,1
1049,LMI,3000,1,0.9330402300575793,25,1
1050,MINE,3000,1,0.7742961631309163,25,1
1051,KSG,3000,1,0.23830368648841393,25,1
1052,InfoNCE,3000,1,0.5143017346543671,37,1
1053,LMI,3000,1,0.9798845530403616,37,1
1054,MINE,3000,1,0.65319664331768,37,1
1055,KSG,3000,1,0.14554292235991081,37,1
1056,InfoNCE,3000,1,0.4451887865786388,50,1
1057,LMI,3000,1,0.948278974194133,50,1
1058,MINE,3000,1,0.7707185800276682,50,1
1059,KSG,3000,1,0.13748560186370906,50,1
1060,InfoNCE,4000,1,0.9833665286869879,1,1
1061,LMI,4000,1,1.0283946636322052,1,1
1062,MINE,4000,1,0.9912851258806642,1,1
1063,KSG,4000,1,0.9710836280374479,1,1
1064,InfoNCE,4000,1,0.8003198899288732,13,1
1065,LMI,4000,1,0.9275611564618343,13,1
1066,MINE,4000,1,0.9406095778906833,13,1
1067,KSG,4000,1,0.4510788698558981,13,1
1068,InfoNCE,4000,1,0.7728790260878068,25,1
1069,LMI,4000,1,0.9437302003196484,25,1
1070,MINE,4000,1,0.8595478771722852,25,1
1071,KSG,4000,1,0.22409169917285318,25,1
1072,InfoNCE,4000,1,0.5131797198401381,37,1
1073,LMI,4000,1,0.8392353834081403,37,1
1074,MINE,4000,1,0.7085963827442113,37,1
1075,KSG,4000,1,0.19584494346753964,37,1
1076,InfoNCE,4000,1,0.5663746416826083,50,1
1077,LMI,4000,1,0.8708959399235281,50,1
1078,MINE,4000,1,0.776793093247468,50,1
1079,KSG,4000,1,0.1017594421605568,50,1
1080,InfoNCE,5000,1,0.9734176762998762,1,1
1081,LMI,5000,1,1.0629274844982968,1,1
1082,MINE,5000,1,0.9940714168072926,1,1
1083,KSG,5000,1,1.0176843932008848,1,1
1084,InfoNCE,5000,1,0.8853343539033767,13,1
1085,LMI,5000,1,0.9915655129709406,13,1
1086,MINE,5000,1,0.8927554052881068,13,1
1087,KSG,5000,1,0.47541512009482,13,1
1088,InfoNCE,5000,1,0.7824570838796584,25,1
1089,LMI,5000,1,0.9239374003879297,25,1
1090,MINE,5000,1,0.8746606806342037,25,1
1091,KSG,5000,1,0.24033509544384404,25,1
1092,InfoNCE,5000,1,0.7730991638809112,37,1
1093,LMI,5000,1,0.9324283168411828,37,1
1094,MINE,5000,1,0.742932289032344,37,1
1095,KSG,5000,1,0.16535694495621492,37,1
1096,InfoNCE,5000,1,0.6417511979027601,50,1
1097,LMI,5000,1,0.9330277719530681,50,1
1098,MINE,5000,1,0.8765706339633605,50,1
1099,KSG,5000,1,0.14692179260678673,50,1
1100,InfoNCE,6000,1,0.9607982773101668,1,1
1101,LMI,6000,1,0.9869051815655923,1,1
1102,MINE,6000,1,0.9151245007552289,1,1
1103,KSG,6000,1,0.9753493993319641,1,1
1104,InfoNCE,6000,1,0.9164783481828209,13,1
1105,LMI,6000,1,1.003519751296281,13,1
1106,MINE,6000,1,0.9093091653902794,13,1
1107,KSG,6000,1,0.47300387736408644,13,1
1108,InfoNCE,6000,1,0.8423613928975884,25,1
1109,LMI,6000,1,0.9812124400047234,25,1
1110,MINE,6000,1,0.8051380698841201,25,1
1111,KSG,6000,1,0.22010198744102816,25,1
1112,InfoNCE,6000,1,0.7807627108033579,37,1
1113,LMI,6000,1,0.9173929111030892,37,1
1114,MINE,6000,1,0.8017465720091055,37,1
1115,KSG,6000,1,0.15936681344584935,37,1
1116,InfoNCE,6000,1,0.7232991795664728,50,1
1117,LMI,6000,1,0.9170272092194676,50,1
1118,MINE,6000,1,0.84809142486771,50,1
1119,KSG,6000,1,0.13990304495045902,50,1
1120,InfoNCE,7000,1,0.9876647190973512,1,1
1121,LMI,7000,1,1.0252774601708483,1,1
1122,MINE,7000,1,0.9967063630011617,1,1
1123,KSG,7000,1,0.9938437278922195,1,1
1124,InfoNCE,7000,1,0.9099595177845171,13,1
1125,LMI,7000,1,0.9855085446499507,13,1
1126,MINE,7000,1,0.8460660711798241,13,1
1127,KSG,7000,1,0.4978846258392958,13,1
1128,InfoNCE,7000,1,0.895938116224974,25,1
1129,LMI,7000,1,0.9400900535974818,25,1
1130,MINE,7000,1,0.8969125699247626,25,1
1131,KSG,7000,1,0.28645570547240456,25,1
1132,InfoNCE,7000,1,0.872159794916682,37,1
1133,LMI,7000,1,0.9482421504732576,37,1
1134,MINE,7000,1,0.859030381375839,37,1
1135,KSG,7000,1,0.16770369233964344,37,1
1136,InfoNCE,7000,1,0.7603965252881841,50,1
1137,LMI,7000,1,0.9389451733226948,50,1
1138,MINE,7000,1,0.8238477185061833,50,1
1139,KSG,7000,1,0.1694874922820271,50,1
1140,InfoNCE,8000,1,0.9572430519515308,1,1
1141,LMI,8000,1,1.0223027610002147,1,1
1142,MINE,8000,1,0.9846865815236855,1,1
1143,KSG,8000,1,0.9825100726761071,1,1
1144,InfoNCE,8000,1,0.9097345644771885,13,1
1145,LMI,8000,1,0.9598854439203085,13,1
1146,MINE,8000,1,0.855683255024747,13,1
1147,KSG,8000,1,0.5049517978013915,13,1
1148,InfoNCE,8000,1,0.9345516609966918,25,1
1149,LMI,8000,1,0.9565811817595227,25,1
1150,MINE,8000,1,0.8834458124142521,25,1
1151,KSG,8000,1,0.22658456078325084,25,1
1152,InfoNCE,8000,1,0.8178559289414485,37,1
1153,LMI,8000,1,0.8958434221499598,37,1
1154,MINE,8000,1,0.8098542641274055,37,1
1155,KSG,8000,1,0.18381497138697755,37,1
1156,InfoNCE,8000,1,0.8620155702381902,50,1
1157,LMI,8000,1,0.8961113717282283,50,1
1158,MINE,8000,1,0.8576431693139795,50,1
1159,KSG,8000,1,0.12076838101283456,50,1
1160,InfoNCE,9000,1,0.983506866530092,1,1
1161,LMI,9000,1,0.9978171429778063,1,1
1162,MINE,9000,1,0.9499134953370596,1,1
1163,KSG,9000,1,0.9944595509756037,1,1
1164,InfoNCE,9000,1,0.9602699466067162,13,1
1165,LMI,9000,1,1.0142057153141601,13,1
1166,MINE,9000,1,0.9524353629379864,13,1
1167,KSG,9000,1,0.5099505179355439,13,1
1168,InfoNCE,9000,1,0.9038190492181113,25,1
1169,LMI,9000,1,0.9310403932193232,25,1
1170,MINE,9000,1,0.8961062292661924,25,1
1171,KSG,9000,1,0.27021998440390704,25,1
1172,InfoNCE,9000,1,0.8678574769226981,37,1
1173,LMI,9000,1,0.9027429789180915,37,1
1174,MINE,9000,1,0.8798874053765752,37,1
1175,KSG,9000,1,0.21080228231021497,37,1
1176,InfoNCE,9000,1,0.8935448056555672,50,1
1177,LMI,9000,1,0.9448409898805847,50,1
1178,MINE,9000,1,0.8659119231848126,50,1
1179,KSG,9000,1,0.13719409492410164,50,1
1180,InfoNCE,10000,1,0.9901247589352928,1,1
1181,LMI,10000,1,1.0410641406294852,1,1
1182,MINE,10000,1,0.9962920567952331,1,1
1183,KSG,10000,1,1.039822180729343,1,1
1184,InfoNCE,10000,1,0.9817044883490498,13,1
1185,LMI,10000,1,1.017058344366883,13,1
1186,MINE,10000,1,0.9151729998627722,13,1
1187,KSG,10000,1,0.5295667085322168,13,1
1188,InfoNCE,10000,1,0.9563934576562685,25,1
1189,LMI,10000,1,0.9720350675522157,25,1
1190,MINE,10000,1,0.9099733623879115,25,1
1191,KSG,10000,1,0.28024861483312513,25,1
1192,InfoNCE,10000,1,0.8780739343145524,37,1
1193,LMI,10000,1,0.961265314054621,37,1
1194,MINE,10000,1,0.9451208548054657,37,1
1195,KSG,10000,1,0.17791506321919331,37,1
1196,InfoNCE,10000,1,0.8068641737595047,50,1
1197,LMI,10000,1,0.9194959658697477,50,1
1198,MINE,10000,1,0.9207872015175378,50,1
1199,KSG,10000,1,0.141786983366885,50,1
1200,InfoNCE,1000,1,0.9507778801402961,1,1
1201,LMI,1000,1,1.0185182604087175,1,1
1202,MINE,1000,1,0.9985799419996612,1,1
1203,KSG,1000,1,0.9585676508260618,1,1
1204,InfoNCE,1000,1,-0.5489239060648609,13,1
1205,LMI,1000,1,0.9409766424100493,13,1
1206,MINE,1000,1,0.5060348725926936,13,1
1207,KSG,1000,1,0.3992570104185369,13,1
1208,InfoNCE,1000,1,-4.055060600630371,25,1
1209,LMI,1000,1,0.717360919102292,25,1
1210,MINE,1000,1,-2.352601072069062,25,1
1211,KSG,1000,1,0.19157083179939816,25,1
1212,InfoNCE,1000,1,-6.732148047405678,37,1
1213,LMI,1000,1,0.8698099297362323,37,1
1214,MINE,1000,1,-1.3499368860767111,37,1
1215,KSG,1000,1,0.14729157547576324,37,1
1216,InfoNCE,1000,1,-4.342556430841091,50,1
1217,LMI,1000,1,0.760809137809176,50,1
1218,MINE,1000,1,-0.612781924243476,50,1
1219,KSG,1000,1,0.05691903054026619,50,1
1220,InfoNCE,2000,1,0.9334949995897907,1,1
1221,LMI,2000,1,0.9900506877831491,1,1
1222,MINE,2000,1,0.9983962645285397,1,1
1223,KSG,2000,1,0.9895463035947366,1,1
1224,InfoNCE,2000,1,0.5530790069097063,13,1
1225,LMI,2000,1,0.9973556608195968,13,1
1226,MINE,2000,1,0.8090486973907641,13,1
1227,KSG,2000,1,0.37896274820959175,13,1
1228,InfoNCE,2000,1,0.45680724654032673,25,1
1229,LMI,2000,1,0.8813650958785392,25,1
1230,MINE,2000,1,0.5180628232460859,25,1
1231,KSG,2000,1,0.17822193437545622,25,1
1232,InfoNCE,2000,1,-0.5702167341028834,37,1
1233,LMI,2000,1,0.9455257987330242,37,1
1234,MINE,2000,1,0.5113472446951949,37,1
1235,KSG,2000,1,0.09402839289347119,37,1
1236,InfoNCE,2000,1,-0.28853254163012027,50,1
1237,LMI,2000,1,0.8969158402443898,50,1
1238,MINE,2000,1,0.7079554034044456,50,1
1239,KSG,2000,1,0.07429838983199033,50,1
1240,InfoNCE,3000,1,0.9350270210436766,1,1
1241,LMI,3000,1,1.041234870702599,1,1
1242,MINE,3000,1,0.9342276456824663,1,1
1243,KSG,3000,1,0.9888248233401802,1,1
1244,InfoNCE,3000,1,0.8194044607298172,13,1
1245,LMI,3000,1,0.986797484771739,13,1
1246,MINE,3000,1,0.8689987537938236,13,1
1247,KSG,3000,1,0.4593560340582622,13,1
1248,InfoNCE,3000,1,0.7530934540019458,25,1
1249,LMI,3000,1,0.8582183382707295,25,1
1250,MINE,3000,1,0.7607128873744463,25,1
1251,KSG,3000,1,0.2282810332119246,25,1
1252,InfoNCE,3000,1,0.3050538830026051,37,1
1253,LMI,3000,1,0.9260624694743684,37,1
1254,MINE,3000,1,0.7647659165160047,37,1
1255,KSG,3000,1,0.13301039547815477,37,1
1256,InfoNCE,3000,1,0.5240228820117365,50,1
1257,LMI,3000,1,0.9607889171799061,50,1
1258,MINE,3000,1,0.7788964410675202,50,1
1259,KSG,3000,1,0.07682579614440638,50,1
1260,InfoNCE,4000,1,0.9598915847748181,1,1
1261,LMI,4000,1,0.9828334389965026,1,1
1262,MINE,4000,1,0.9271333613343754,1,1
1263,KSG,4000,1,0.9866228829659387,1,1
1264,InfoNCE,4000,1,0.8289673840483929,13,1
1265,LMI,4000,1,0.9608410332564237,13,1
1266,MINE,4000,1,0.9443358399956024,13,1
1267,KSG,4000,1,0.4621759871592993,13,1
1268,InfoNCE,4000,1,0.8194216589949035,25,1
1269,LMI,4000,1,0.9332582364753776,25,1
1270,MINE,4000,1,0.8780154602132589,25,1
1271,KSG,4000,1,0.2300920310975236,25,1
1272,InfoNCE,4000,1,0.7101404429836576,37,1
1273,LMI,4000,1,1.006874248535719,37,1
1274,MINE,4000,1,0.7727626798244981,37,1
1275,KSG,4000,1,0.14110109618363914,37,1
1276,InfoNCE,4000,1,0.4338544419561763,50,1
1277,LMI,4000,1,0.9391116361081301,50,1
1278,MINE,4000,1,0.7173517615256607,50,1
1279,KSG,4000,1,0.0976021671718091,50,1
1280,InfoNCE,5000,1,0.9376535400876534,1,1
1281,LMI,5000,1,0.9895158529904403,1,1
1282,MINE,5000,1,0.9620288131770901,1,1
1283,KSG,5000,1,0.9534349203218903,1,1
1284,InfoNCE,5000,1,0.930449530808312,13,1
1285,LMI,5000,1,0.9376444811137968,13,1
1286,MINE,5000,1,0.8748052320522538,13,1
1287,KSG,5000,1,0.5024071123328182,13,1
1288,InfoNCE,5000,1,0.8135584264616886,25,1
1289,LMI,5000,1,0.9362867618364884,25,1
1290,MINE,5000,1,0.8670275746409596,25,1
1291,KSG,5000,1,0.2705196102215913,25,1
1292,InfoNCE,5000,1,0.7193662803065421,37,1
1293,LMI,5000,1,0.9269811205857339,37,1
1294,MINE,5000,1,0.8314854680310007,37,1
1295,KSG,5000,1,0.161433780820481,37,1
1296,InfoNCE,5000,1,0.6036701114181136,50,1
1297,LMI,5000,1,0.9139642134362251,50,1
1298,MINE,5000,1,0.7937177339362261,50,1
1299,KSG,5000,1,0.17496009712759178,50,1
1300,InfoNCE,6000,1,1.004429587903458,1,1
1301,LMI,6000,1,1.0019845546121013,1,1
1302,MINE,6000,1,1.0114830263719687,1,1
1303,KSG,6000,1,1.0017088856378402,1,1
1304,InfoNCE,6000,1,0.8802973260249067,13,1
1305,LMI,6000,1,0.9239636444787902,13,1
1306,MINE,6000,1,0.9091247999885544,13,1
1307,KSG,6000,1,0.4625017308577488,13,1
1308,InfoNCE,6000,1,0.8348581338057458,25,1
1309,LMI,6000,1,0.9558189768913274,25,1
1310,MINE,6000,1,0.8440806174669385,25,1
1311,KSG,6000,1,0.2611334181605032,25,1
1312,InfoNCE,6000,1,0.7758261207929918,37,1
1313,LMI,6000,1,0.9132053276588084,37,1
1314,MINE,6000,1,0.8233280729266014,37,1
1315,KSG,6000,1,0.15314751112373362,37,1
1316,InfoNCE,6000,1,0.675298821710663,50,1
1317,LMI,6000,1,0.9080810583803434,50,1
1318,MINE,6000,1,0.8032213232402541,50,1
1319,KSG,6000,1,0.1259472797028046,50,1
1320,InfoNCE,7000,1,1.0184730032423113,1,1
1321,LMI,7000,1,1.034286254549259,1,1
1322,MINE,7000,1,0.9750303576170167,1,1
1323,KSG,7000,1,1.0492924020217493,1,1
1324,InfoNCE,7000,1,0.9349561641915212,13,1
1325,LMI,7000,1,1.0047224140752753,13,1
1326,MINE,7000,1,0.9066130793640286,13,1
1327,KSG,7000,1,0.4845754077782237,13,1
1328,InfoNCE,7000,1,0.8813113357343938,25,1
1329,LMI,7000,1,0.9452627235765717,25,1
1330,MINE,7000,1,0.8071040035661329,25,1
1331,KSG,7000,1,0.24999803137869522,25,1
1332,InfoNCE,7000,1,0.8450883498096691,37,1
1333,LMI,7000,1,0.9357997204512855,37,1
1334,MINE,7000,1,0.8489115241383494,37,1
1335,KSG,7000,1,0.1765452908245081,37,1
1336,InfoNCE,7000,1,0.7356922493876469,50,1
1337,LMI,7000,1,0.9320593630659572,50,1
1338,MINE,7000,1,0.7734687545976153,50,1
1339,KSG,7000,1,0.12974233838240976,50,1
1340,InfoNCE,8000,1,0.9702697058584834,1,1
1341,LMI,8000,1,0.9871276268767506,1,1
1342,MINE,8000,1,0.9706143590908124,1,1
1343,KSG,8000,1,1.0119062986473724,1,1
1344,InfoNCE,8000,1,0.9685615741701139,13,1
1345,LMI,8000,1,1.0132037964355882,13,1
1346,MINE,8000,1,0.9465293927160321,13,1
1347,KSG,8000,1,0.49074472495342786,13,1
1348,InfoNCE,8000,1,0.8425058583243131,25,1
1349,LMI,8000,1,0.8934576181122073,25,1
1350,MINE,8000,1,0.8176990807638617,25,1
1351,KSG,8000,1,0.23949156599795635,25,1
1352,InfoNCE,8000,1,0.8826479848968996,37,1
1353,LMI,8000,1,0.9255244780978881,37,1
1354,MINE,8000,1,0.8723440743270816,37,1
1355,KSG,8000,1,0.17452618226291217,37,1
1356,InfoNCE,8000,1,0.906736562907348,50,1
1357,LMI,8000,1,0.9400686638129164,50,1
1358,MINE,8000,1,0.8585298258705027,50,1
1359,KSG,8000,1,0.12000409925070625,50,1
1360,InfoNCE,9000,1,0.9585790131834331,1,1
1361,LMI,9000,1,0.9816864661338417,1,1
1362,MINE,9000,1,0.9504505971557041,1,1
1363,KSG,9000,1,0.9690398620773685,1,1
1364,InfoNCE,9000,1,0.9463696208333805,13,1
1365,LMI,9000,1,0.9875990983348114,13,1
1366,MINE,9000,1,0.8989997513756337,13,1
1367,KSG,9000,1,0.5111301551083978,13,1
1368,InfoNCE,9000,1,0.9141627737716042,25,1
1369,LMI,9000,1,0.9298379476777869,25,1
1370,MINE,9000,1,0.8937339005801909,25,1
1371,KSG,9000,1,0.27279482275407607,25,1
1372,InfoNCE,9000,1,0.8494512056967568,37,1
1373,LMI,9000,1,0.9564364602315125,37,1
1374,MINE,9000,1,0.8473592087316616,37,1
1375,KSG,9000,1,0.1903132624834875,37,1
1376,InfoNCE,9000,1,0.7693017869498604,50,1
1377,LMI,9000,1,0.8960267592360973,50,1
1378,MINE,9000,1,0.8175006987760914,50,1
1379,KSG,9000,1,0.10341660674784091,50,1
1380,InfoNCE,10000,1,1.0089355333560635,1,1
1381,LMI,10000,1,0.9834393295421241,1,1
1382,MINE,10000,1,0.9962319488587567,1,1
1383,KSG,10000,1,1.0003414678570257,1,1
1384,InfoNCE,10000,1,0.9692928444015826,13,1
1385,LMI,10000,1,0.9539253386804849,13,1
1386,MINE,10000,1,0.9264138719144909,13,1
1387,KSG,10000,1,0.515276041604896,13,1
1388,InfoNCE,10000,1,0.9184685314186054,25,1
1389,LMI,10000,1,0.9795802505300755,25,1
1390,MINE,10000,1,0.8816837641648373,25,1
1391,KSG,10000,1,0.2586574312338537,25,1
1392,InfoNCE,10000,1,0.8796823160654214,37,1
1393,LMI,10000,1,0.9443456188126383,37,1
1394,MINE,10000,1,0.8817669177765294,37,1
1395,KSG,10000,1,0.1779860520840405,37,1
1396,InfoNCE,10000,1,0.8898822631227927,50,1
1397,LMI,10000,1,0.9454105134939959,50,1
1398,MINE,10000,1,0.9091818982286408,50,1
1399,KSG,10000,1,0.16724518512466488,50,1
1400,InfoNCE,1000,1,0.910087472876759,1,1
1401,LMI,1000,1,0.9528215749274437,1,1
1402,MINE,1000,1,0.9624551581685791,1,1
1403,KSG,1000,1,0.9333798851010928,1,1
1404,InfoNCE,1000,1,-0.07478356003997681,13,1
1405,LMI,1000,1,0.9105636720598531,13,1
1406,MINE,1000,1,0.5761525433147624,13,1
1407,KSG,1000,1,0.37543447771118865,13,1
1408,InfoNCE,1000,1,-1.112467025383664,25,1
1409,LMI,1000,1,0.9672488313366736,25,1
1410,MINE,1000,1,-0.8059777751769578,25,1
1411,KSG,1000,1,0.20437111661658877,25,1
1412,InfoNCE,1000,1,-1.9024156735349063,37,1
1413,LMI,1000,1,0.9242034657388053,37,1
1414,MINE,1000,1,-1.6215772917390863,37,1
1415,KSG,1000,1,0.0756062889845981,37,1
1416,InfoNCE,1000,1,-6.680338617798559,50,1
1417,LMI,1000,1,0.9094380670223163,50,1
1418,MINE,1000,1,-0.3478675880736944,50,1
1419,KSG,1000,1,0.1381075113815774,50,1
1420,InfoNCE,2000,1,1.0246375493798379,1,1
1421,LMI,2000,1,1.0912565775703782,1,1
1422,MINE,2000,1,0.9952601608900563,1,1
1423,KSG,2000,1,1.05008978368866,1,1
1424,InfoNCE,2000,1,0.5597189130942176,13,1
1425,LMI,2000,1,0.9616060226274658,13,1
1426,MINE,2000,1,0.7373945336658869,13,1
1427,KSG,2000,1,0.3914656208917746,13,1
1428,InfoNCE,2000,1,-0.03850003622214834,25,1
1429,LMI,2000,1,0.8927395872070688,25,1
1430,MINE,2000,1,0.6452034056535293,25,1
1431,KSG,2000,1,0.21055168153137557,25,1
1432,InfoNCE,2000,1,-0.4880688769529612,37,1
1433,LMI,2000,1,0.938989110721265,37,1
1434,MINE,2000,1,0.6994352968893767,37,1
1435,KSG,2000,1,0.18453328102605834,37,1
1436,InfoNCE,2000,1,-0.4647445898429471,50,1
1437,LMI,2000,1,0.8495942062890862,50,1
1438,MINE,2000,1,0.28116532081511014,50,1
1439,KSG,2000,1,0.09916605785590472,50,1
1440,InfoNCE,3000,1,1.0618270778024117,1,1
1441,LMI,3000,1,1.0177935091669594,1,1
1442,MINE,3000,1,1.0477301758591397,1,1
1443,KSG,3000,1,1.019862820581625,1,1
1444,InfoNCE,3000,1,0.6917094062559922,13,1
1445,LMI,3000,1,0.9302027181409421,13,1
1446,MINE,3000,1,0.73473808964066,13,1
1447,KSG,3000,1,0.44296118816849894,13,1
1448,InfoNCE,3000,1,0.6308605685195235,25,1
1449,LMI,3000,1,0.9687037217415855,25,1
1450,MINE,3000,1,0.8468057685611851,25,1
1451,KSG,3000,1,0.26382739092198243,25,1
1452,InfoNCE,3000,1,0.4130452291323799,37,1
1453,LMI,3000,1,0.8778495309927177,37,1
1454,MINE,3000,1,0.7683840875248564,37,1
1455,KSG,3000,1,0.13295162561189583,37,1
1456,InfoNCE,3000,1,0.07286629744815822,50,1
1457,LMI,3000,1,0.8081355977856335,50,1
1458,MINE,3000,1,0.7477995700344123,50,1
1459,KSG,3000,1,0.0959149349997086,50,1
1460,InfoNCE,4000,1,0.9999896837887836,1,1
1461,LMI,4000,1,0.9391810842365982,1,1
1462,MINE,4000,1,0.9585724778427003,1,1
1463,KSG,4000,1,0.9857128808057526,1,1
1464,InfoNCE,4000,1,0.8648649787976852,13,1
1465,LMI,4000,1,0.9932827529990387,13,1
1466,MINE,4000,1,0.9090553189976058,13,1
1467,KSG,4000,1,0.48086570035831533,13,1
1468,InfoNCE,4000,1,0.7473107093493347,25,1
1469,LMI,4000,1,0.980012441255258,25,1
1470,MINE,4000,1,0.826060791257486,25,1
1471,KSG,4000,1,0.2554654335585564,25,1
1472,InfoNCE,4000,1,0.3860384495020913,37,1
1473,LMI,4000,1,0.8863135640617131,37,1
1474,MINE,4000,1,0.8321524167510467,37,1
1475,KSG,4000,1,0.11508704246603148,37,1
1476,InfoNCE,4000,1,0.5087962260349469,50,1
1477,LMI,4000,1,0.8702950333446728,50,1
1478,MINE,4000,1,0.7762160054624979,50,1
1479,KSG,4000,1,0.12571999725873456,50,1
1480,InfoNCE,5000,1,0.9960175724844561,1,1
1481,LMI,5000,1,0.9955975051311321,1,1
1482,MINE,5000,1,0.9990134242711608,1,1
1483,KSG,5000,1,0.9865274525082152,1,1
1484,InfoNCE,5000,1,0.8990166056754183,13,1
1485,LMI,5000,1,0.9669864779232062,13,1
1486,MINE,5000,1,0.909492068939472,13,1
1487,KSG,5000,1,0.48586071954324306,13,1
1488,InfoNCE,5000,1,0.8602902402847344,25,1
1489,LMI,5000,1,0.9215682432140584,25,1
1490,MINE,5000,1,0.8697523817699044,25,1
1491,KSG,5000,1,0.25779986776232,25,1
1492,InfoNCE,5000,1,0.7330932475678081,37,1
1493,LMI,5000,1,0.9445401593336388,37,1
1494,MINE,5000,1,0.8050236154299709,37,1
1495,KSG,5000,1,0.18510655825110756,37,1
1496,InfoNCE,5000,1,0.5579646900554169,50,1
1497,LMI,5000,1,0.9447231660955353,50,1
1498,MINE,5000,1,0.8515763953134685,50,1
1499,KSG,5000,1,0.12105599211342041,50,1
1500,InfoNCE,6000,1,0.9789431349067965,1,1
1501,LMI,6000,1,1.0176768460588308,1,1
1502,MINE,6000,1,1.0250007767384601,1,1
1503,KSG,6000,1,1.0055727501934586,1,1
1504,InfoNCE,6000,1,0.9157945451629904,13,1
